Name,LLoydNumber,GrossRegisterTonnage,NetRegisterTonnage,Latest VOS,Latest ETA,Name_New,MMSI,GrossRegisterTonnage_New,NetRegisterTonnage_NEW,CallSign,Flag,Length,Beam,Draught,Deadweight,YearBuilt,OldNames,Active,YearBuilt
AKADEMIK SHATSKIY,8407010,0,0,NULL,NULL,,,,,,,,,,,,,,
AKADIMOS,9706308,59714,96424,VOS0000040247,8/14/2020 23:00,,,,,,,,,,,,,,
AKERAIOS,9328297,0,0,NULL,NULL,,,,,,,,,,,,,,
AL AIN,9044281,0,0,NULL,NULL,,,,,,,,,,,,,,
AL IDRISI,9572707,0,0,NULL,NULL,,,,,,,,,,,,,,
ALAATTIN BEY,9347748,0,0,VOS0000012223,5/9/2018 8:00,,,,,,,,,,,,,,
ALABAMA BELLE,8412144,0,0,NULL,NULL,,,,,,,,,,,,,,
ALAM SEMPURNA,8312071,0,0,NULL,NULL,,,,,,,,,,,,,,
ALAM SENANG,8308812,0,0,NULL,NULL,,,,,,,,,,,,,,
ALAYA,9515280,0,0,NULL,NULL,,,,,,,,,,,,,,
ALBACORE,1209251,0,0,NULL,NULL,,,,,,,,,,,,,,
ALBANE,9250684,0,0,VOS0000023245,4/8/2019 16:00,,,,,,,,,,,,,,
ALBARELLA,8115332,0,0,NULL,NULL,,,,,,,,,,,,,,
ALBATROS,7304314,0,0,NULL,NULL,,,,,,,,,,,,,,
ALBERT OLDENDORFF,9272773,0,0,NULL,NULL,,,,,,,,,,,,,,
ALBERT RICKMERS,9152741,0,0,NULL,NULL,,,,,,,,,,,,,,
ALBION BAY,9496989,0,0,NULL,NULL,,,,,,,,,,,,,,
ALDA,8100882,0,0,NULL,NULL,,,,,,,,,,,,,,
ALDERNY,9280718,0,0,VOS0000007071,11/28/2017 5:00,,,,,,,,,,,,,,
ALEKSANDR POKRYSHKIN,8623896,0,0,NULL,NULL,,,,,,,,,,,,,,
ALERT I,9177789,0,0,NULL,NULL,,,,,,,,,,,,,,
ALESSANDRO DP,9384162,0,0,VOS0000032728,1/8/2020 3:00,,,,,,,,,,,,,,
ALETHINI,9217826,0,0,NULL,NULL,,,,,,,,,,,,,,
ALEX P,6816906,0,0,NULL,NULL,,,,,,,,,,,,,,
ALEXANDRIA,8004181,0,0,NULL,NULL,,,,,,,,,,,,,,
ALGA,9636632,0,0,NULL,NULL,,,,,,,,,,,,,,
ALGOL,9339612,0,0,VOS0000040587,8/23/2020 6:30,,,,,,,,,,,,,,
ALI EKINCI,8103236,0,0,NULL,NULL,,,,,,,,,,,,,,
ALIA R,9149718,0,0,NULL,NULL,,,,,,,,,,,,,,
ALIACMON RIVER,9066760,0,0,NULL,NULL,,,,,,,,,,,,,,
ALIANCA RIVER,9135913,0,0,NULL,NULL,,,,,,,,,,,,,,
ALICE,9644433,0,0,NULL,NULL,,,,,,,,,,,,,,
ALIDA GORTHON,7524201,0,0,NULL,NULL,,,,,,,,,,,,,,
ALIDA NATASCHA,9073878,0,0,NULL,NULL,,,,,,,,,,,,,,
ALIDA S,9147136,0,0,NULL,NULL,,,,,,,,,,,,,,
ALIDRA,9202481,0,0,NULL,NULL,,,,,,,,,,,,,,
ALINDA,7502899,0,0,NULL,NULL,,,,,,,,,,,,,,
ALITHIA,9595840,0,0,NULL,NULL,,,,,,,,,,,,,,
ALKIMOS,9430739,0,0,VOS0000016417,9/12/2018 12:00,,,,,,,,,,,,,,
ALLEGRA,9519169,0,0,NULL,NULL,,,,,,,,,,,,,,
ALLEGRO ,9484912,0,0,NULL,NULL,,,,,,,,,,,,,,
ALLIANCE FAIRFAX,9303546,59705,17912,VOS0000039951,8/3/2020 4:00,,,,,,,,,,,,,,
ALLIANCE NORFOLK,9332547,0,0,VOS0000035019,3/12/2020 6:00,,,,,,,,,,,,,,
ALLIANCE ST. LOUIS,9285500,0,0,VOS0000038481,6/22/2020 5:00,,,,,,,,,,,,,,
ALLURE OF THE SEAS,9383948,0,0,NULL,NULL,,,,,,,,,,,,,,
ALMA II,9231676,0,0,VOS0000021014,1/31/2019 15:00,,,,,,,,,,,,,,
ALMI NAVIGATOR,9579561,0,0,NULL,NULL,,,,,,,,,,,,,,
ALNOMAN,9239642,0,0,NULL,NULL,,,,,,,,,,,,,,
ALOE,9320336,0,0,NULL,NULL,,,,,,,,,,,,,,
ALP DEFENDER,9737242,5.9,1.7,NULL,NULL,,,,,,,,,,,,,,
ALP GUARD,9398539,0,0,NULL,NULL,,,,,,,,,,,,,,
ALPINA,9244037,0,0,NULL,NULL,,,,,,,,,,,,,,
ALPINE LEGEND,9478705,0,0,VOS0000038154,6/10/2020 22:00,,,,,,,,,,,,,,
