Name                                                                                                                                                                                                                                                           ,CountryID ,flag ,LLoydNumber ,CallSignNumber                      ,Draft                                   ,DraftMax                                ,LengthOverall                           ,BreadthOverall                          ,GrossRegisterTonnage                    ,NetRegisterTonnage                      ,Expr1                                                                                                                            ,Description
TUG GULF CAJUN                                                                                                                                                                                                                                                   ,USA       ,USA  ,7511981     ,8759                                ,4.81                                    ,NULL                                    ,35.87                                   ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
AVONBORG                                                                                                                                                                                                                                                         ,NLD       ,NLD  ,9429730     ,9379                                ,9.69                                    ,NULL                                    ,133.36                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
NIKOPIOS                                                                                                                                                                                                                                                         ,PAN       ,PAN  ,8208945     ,7642                                ,10.98                                   ,NULL                                    ,172.22                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
PING HAI WAN                                                                                                                                                                                                                                                     ,PAN       ,PAN  ,9558579     ,10034                               ,6.45                                    ,NULL                                    ,102.38                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
NOTOS                                                                                                                                                                                                                                                            ,ATG       ,ATG  ,9045728     ,9070                                ,7.15                                    ,NULL                                    ,117.95                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
BBC AFRICA                                                                                                                                                                                                                                                       ,ATG       ,ATG  ,9362621     ,9345                                ,7.59                                    ,NULL                                    ,113.75                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
DAYA I                                                                                                                                                                                                                                                           ,GUY       ,GUY  ,7637046     ,8982                                ,3.82                                    ,NULL                                    ,0.00                                    ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
ALIDA S                                                                                                                                                                                                                                                          ,ITA       ,ITA  ,9147136     ,7849                                ,6.85                                    ,NULL                                    ,110.00                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
FENG KANG SHAN                                                                                                                                                                                                                                                   ,CHN       ,CHN  ,8400610     ,8257                                ,11.52                                   ,NULL                                    ,150.22                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
MINANUR CEBI I                                                                                                                                                                                                                                                   ,TUR       ,TUR  ,9480564     ,10037                               ,0.00                                    ,NULL                                    ,173.29                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
FAMILY ISLAND                                                                                                                                                                                                                                                    ,BOL       ,BOL  ,7637345     ,7625                                ,3.55                                    ,NULL                                    ,56.10                                   ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
RUBICONE                                                                                                                                                                                                                                                         ,IRL       ,IRL  ,8701947     ,7318                                ,8.30                                    ,NULL                                    ,133.28                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
FLORA S                                                                                                                                                                                                                                                          ,CYP       ,CYP  ,7718187     ,8524                                ,9.48                                    ,NULL                                    ,137.71                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
ST. CRISPIAN                                                                                                                                                                                                                                                     ,PAN       ,PAN  ,8408789     ,8748                                ,4.78                                    ,NULL                                    ,89.97                                   ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
BAKU                                                                                                                                                                                                                                                             ,TUR       ,TUR  ,8811390     ,7686                                ,10.07                                   ,NULL                                    ,153.50                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
SYMPHONY                                                                                                                                                                                                                                                         ,LBR       ,LBR  ,9113381     ,11187                               ,0.00                                    ,NULL                                    ,157.42                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
FLOREANA                                                                                                                                                                                                                                                         ,ECU       ,ECU  ,8306474     ,9467                                ,5.29                                    ,NULL                                    ,70.00                                   ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
ORION II                                                                                                                                                                                                                                                         ,NLD       ,NLD  ,9118018     ,8038                                ,4.25                                    ,NULL                                    ,84.64                                   ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
HEINRICH SIBUM                                                                                                                                                                                                                                                   ,ATG       ,ATG  ,9347815     ,8833                                ,8.80                                    ,NULL                                    ,130.49                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
TUCKAHOE MAIDEN                                                                                                                                                                                                                                                  ,PHL       ,PHL  ,8314835     ,8105                                ,10.09                                   ,NULL                                    ,156.19                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
TUG FALCON                                                                                                                                                                                                                                                       ,KNA       ,KNA  ,9501980     ,10474                               ,0.00                                    ,NULL                                    ,28.04                                   ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
MINDAUGAS                                                                                                                                                                                                                                                        ,LTU       ,LTU  ,8901016     ,7772                                ,5.85                                    ,NULL                                    ,90.50                                   ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
NORDANA TERESA                                                                                                                                                                                                                                                   ,SGP       ,SGP  ,9453781     ,11856                               ,0.00                                    ,NULL                                    ,130.71                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
SHAWNEE PRINCESS                                                                                                                                                                                                                                                 ,PHL       ,PHL  ,8214619     ,9789                                ,9.67                                    ,NULL                                    ,147.28                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
STOLT SUN                                                                                                                                                                                                                                                        ,CYM       ,CYM  ,9149512     ,9946                                ,10.12                                   ,NULL                                    ,154.00                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
PETER RONNA                                                                                                                                                                                                                                                      ,GIB       ,GIB  ,9198628     ,10483                               ,0.00                                    ,NULL                                    ,92.75                                   ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
PROSPER                                                                                                                                                                                                                                                          ,RUS       ,RUS  ,8913887     ,9547                                ,5.25                                    ,NULL                                    ,80.69                                   ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
LAURA II                                                                                                                                                                                                                                                         ,VCT       ,VCT  ,7371769     ,9254                                ,4.94                                    ,NULL                                    ,65.18                                   ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
ORNA                                                                                                                                                                                                                                                             ,GRC       ,GRC  ,8312162     ,7260                                ,10.61                                   ,NULL                                    ,167.64                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
FLINTERSTAR                                                                                                                                                                                                                                                      ,NLD       ,NLD  ,9243758     ,11692                               ,0.00                                    ,NULL                                    ,122.10                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
OCTBREEZE ISLAND                                                                                                                                                                                                                                                 ,HKG       ,HKG  ,9597587     ,10920                               ,0.00                                    ,NULL                                    ,173.52                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
SUOMIGRACHT                                                                                                                                                                                                                                                      ,NLD       ,NLD  ,9288057     ,8073                                ,10.59                                   ,NULL                                    ,176.67                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
WESTERN GRACE                                                                                                                                                                                                                                                    ,CHN       ,CHN  ,9326328     ,9484                                ,8.44                                    ,NULL                                    ,132.48                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
ANANGEL ATLAS                                                                                                                                                                                                                                                    ,GRC       ,GRC  ,8314811     ,3                                   ,0.00                                    ,9.46                                    ,145.52                                  ,0.00                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
DOROTHEA                                                                                                                                                                                                                                                         ,CYP       ,CYP  ,8309438     ,7295                                ,9.95                                    ,NULL                                    ,146.09                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
BBC SEALAND                                                                                                                                                                                                                                                      ,ATG       ,ATG  ,9051741     ,7890                                ,8.27                                    ,NULL                                    ,99.13                                   ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
ZHEN HUA 16                                                                                                                                                                                                                                                      ,VCT       ,VCT  ,8014667     ,8346                                ,8.50                                    ,NULL                                    ,230.02                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
INDUSTRIAL FAITH                                                                                                                                                                                                                                                 ,ATG       ,ATG  ,9506758     ,11346                               ,0.00                                    ,NULL                                    ,146.35                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
EIT PALMINA                                                                                                                                                                                                                                                      ,ATG       ,ATG  ,9538892     ,12140                               ,0.00                                    ,NULL                                    ,134.28                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
OCEAN FREEDOM                                                                                                                                                                                                                                                    ,USA       ,NULL ,9506722     ,WDF9323                             ,9.10                                    ,NULL                                    ,153.52                                  ,23.45                                   ,12810.00                                ,5938.00                                 ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
FALCON BAY                                                                                                                                                                                                                                                       ,ANT       ,ANT  ,9070137     ,7702                                ,9.07                                    ,NULL                                    ,142.13                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
CRINIS                                                                                                                                                                                                                                                           ,LBR       ,LBR  ,9598165     ,12012                               ,0.00                                    ,NULL                                    ,16.21                                   ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
CMB CHARLOTTE                                                                                                                                                                                                                                                    ,HKG       ,HKG  ,9559705     ,11918                               ,0.00                                    ,NULL                                    ,172.45                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
HAI AN CHENG                                                                                                                                                                                                                                                     ,CHN       ,CHN  ,9063263     ,8923                                ,9.50                                    ,NULL                                    ,163.47                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
CLIPPER EAGLE                                                                                                                                                                                                                                                    ,BHS       ,BHS  ,8908832     ,7760                                ,8.50                                    ,NULL                                    ,139.35                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
SOCOL 7                                                                                                                                                                                                                                                          ,MLT       ,MLT  ,9017628     ,7198                                ,8.54                                    ,NULL                                    ,106.42                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
BALTIMAR NOTOS                                                                                                                                                                                                                                                   ,BHS       ,BHS  ,8607658     ,7049                                ,4.97                                    ,NULL                                    ,85.21                                   ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
PAC ALNATH                                                                                                                                                                                                                                                       ,SGP       ,SGP  ,9265926     ,11855                               ,0.00                                    ,NULL                                    ,170.60                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
ROMANDIE                                                                                                                                                                                                                                                         ,CHE       ,CHE  ,9542829     ,10624                               ,9.80                                    ,NULL                                    ,173.00                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
CLIPPER LANCER                                                                                                                                                                                                                                                   ,BHS       ,BHS  ,9363182     ,10284                               ,8.22                                    ,NULL                                    ,112.06                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
INDUSTRIAL DESTINY                                                                                                                                                                                                                                               ,ATG       ,ATG  ,9347839     ,8404                                ,7.70                                    ,NULL                                    ,114.19                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
STENA CARIBBEAN                                                                                                                                                                                                                                                  ,GBR       ,GBR  ,9228875     ,7263                                ,6.54                                    ,NULL                                    ,117.10                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
GREAT HAPPY                                                                                                                                                                                                                                                      ,HKG       ,HKG  ,9136474     ,10086                               ,11.62                                   ,NULL                                    ,178.08                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
SEA DOLPHIN C                                                                                                                                                                                                                                                    ,MHL       ,MHL  ,9486427     ,10229                               ,9.90                                    ,NULL                                    ,173.29                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
MEDOUSA                                                                                                                                                                                                                                                          ,MLT       ,MLT  ,7505190     ,8860                                ,8.87                                    ,NULL                                    ,136.50                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
ROXANNE 1                                                                                                                                                                                                                                                        ,ATG       ,ATG  ,8913851     ,8125                                ,6.01                                    ,NULL                                    ,80.69                                   ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
NOR CARRIER 3                                                                                                                                                                                                                                                    ,SGP       ,SGP  ,9366146     ,10837                               ,0.00                                    ,NULL                                    ,103.29                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
PIRGOS                                                                                                                                                                                                                                                           ,VCT       ,VCT  ,7924839     ,7410                                ,9.49                                    ,NULL                                    ,137.71                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
THOR ALICE                                                                                                                                                                                                                                                       ,DNK       ,DNK  ,8700993     ,7641                                ,3.51                                    ,NULL                                    ,62.55                                   ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
OSC NLD                                                                                                                                                                                                                                                          ,NLD       ,NLD  ,9277333     ,9881                                ,7.05                                    ,NULL                                    ,113.65                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
MALTE B                                                                                                                                                                                                                                                          ,ATG       ,ATG  ,9194854     ,8755                                ,5.56                                    ,NULL                                    ,81.07                                   ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
